,customerID,Recency,Monetary,Frequency
102,103,74,110.49,3
103,104,545,14.96,1
104,105,545,35.31,1
105,106,150,202.1,6
106,107,545,21.99,1
107,108,545,17.96,1
108,109,513,204.45999999999998,2
109,110,545,27.94,1
110,111,10,1107.04,16
111,112,510,23.54,2
112,113,115,59.669999999999995,3
113,114,139,124.92999999999999,5
114,115,545,13.97,1
115,116,545,12.77,1
116,117,103,58.97,3
117,118,371,73.85,2
118,119,545,41.69,1
119,120,194,103.51,5
120,121,545,12.49,1
121,122,545,27.74,1
122,123,545,31.99,1
123,124,200,138.35,5
124,125,22,108.63999999999999,6
125,126,210,302.75,2
126,127,545,39.71,1
127,128,331,67.86,4
128,129,545,12.49,1
129,130,62,120.95,8
130,131,545,30.32,1
131,132,50,302.43,6
132,133,231,199.17,7
133,134,173,49.379999999999995,3
134,135,545,84.39,1
135,136,216,81.96,2
136,137,545,27.73,1
137,138,545,14.99,1
138,139,540,11.77,1
139,140,423,44.06,2
140,141,54,147.75,7
141,142,80,122.38999999999999,5
142,143,545,41.48,1
143,144,545,30.72,1
144,145,31,521.96,22
145,146,545,13.97,1
146,147,199,288.07000000000005,7
147,148,101,146.44,7
148,149,522,106.53999999999999,2
149,150,545,15.36,1
150,151,545,13.97,1
151,152,163,243.95999999999998,6
152,153,545,6.79,1
153,154,65,69.19,5
154,155,545,23.99,1
155,156,545,10.77,1
156,157,489,80.21000000000001,2
157,158,545,43.05,1
158,159,545,19.75,1
159,160,545,19.74,1
160,161,29,416.91,11
161,162,545,119.54,1
162,163,545,25.74,1
163,164,1,245.59,8
164,165,29,34.75,3
165,166,34,173.18,8
166,167,202,186.46,8
167,168,545,14.96,1
168,169,545,11.77,1
169,170,154,74.39,2
170,171,545,14.96,1
171,172,545,50.95,1
172,173,88,49.83,2
173,174,540,36.730000000000004,2
174,175,545,27.77,1
175,176,545,11.77,1
176,177,48,570.08,27
177,178,545,12.49,1
178,179,126,174.03,10
179,180,306,62.59,2
180,181,545,43.7,1
181,182,43,91.71999999999998,4
182,183,545,9.99,1
183,184,43,31.869999999999997,2
184,185,39,115.19000000000001,4
185,186,286,34.45,2
186,187,513,36.11,2
187,188,545,13.77,1
188,189,545,294.03,1
189,190,545,15.36,1
190,191,541,70.23,1
191,192,333,160.23000000000002,6
192,193,545,27.94,1
193,194,535,255.77999999999997,2
194,195,161,113.78999999999998,7
195,196,545,25.54,1
196,197,421,53.97,3
197,198,545,15.76,1
198,199,545,14.37,1
199,200,524,84.28999999999999,2
200,201,63,73.3,5
201,202,544,146.46,2
202,203,341,63.83,4
203,204,531,72.23,1
204,205,205,102.07,4
205,206,545,17.99,1
206,207,226,94.26,3
207,208,129,133.63,2
208,209,472,116.17,3
209,210,96,86.03,2
210,211,545,7.78,1
211,212,545,14.37,1
212,213,527,22.54,2
213,214,252,222.21999999999997,7
214,215,545,11.77,1
215,216,545,13.97,1
216,217,28,195.92000000000002,4
217,218,509,57.48,1
218,219,409,74.02,2
219,220,545,57.85,1
220,221,545,12.49,1
221,222,243,86.32999999999998,3
222,223,545,47.93,1
223,224,545,28.33,1
224,225,333,105.61,5
225,226,56,170.12,6
226,227,310,164.58,5
227,228,175,339.7900000000001,13
228,229,3,83.49,5
229,230,389,79.96,2
230,231,545,69.04,1
231,232,545,42.98,1
232,233,545,12.99,1
233,234,511,23.96,2
234,235,545,7.98,1
235,236,545,16.7,1
236,237,545,23.54,1
237,238,338,305.18999999999994,5
238,239,545,28.74,1
239,240,479,30.950000000000003,2
240,241,52,100.55,4
241,242,529,65.43,2
242,243,544,17.96,1
243,244,20,1287.4099999999999,24
244,245,19,148.75,6
245,246,10,750.18,20
246,247,49,94.15,4
247,248,544,14.37,1
248,249,496,92.28,3
249,250,311,104.57,3
250,251,544,40.26,1
251,252,20,348.26,6
252,253,544,13.97,1
253,254,544,15.96,1
254,255,544,11.77,1
255,256,442,79.58,3
256,257,82,55.75,3
257,258,544,59.97,1
258,259,544,14.79,1
259,260,541,57.27,1
260,261,544,8.77,1
261,262,544,48.95,1
262,263,544,14.79,1
263,264,544,16.99,1
264,265,495,135.60000000000002,3
265,266,519,99.28,2
266,267,544,37.47,1
267,268,463,7.78,1
268,269,500,29.99,1
269,270,522,269.17,2
270,271,544,12.77,1
271,272,451,38.71,3
272,273,462,21.75,2
273,274,544,5.78,1
274,275,544,60.47,1
275,276,29,118.35,4
276,277,113,31.89,2
277,278,544,23.97,1
278,279,320,139.81,3
279,280,428,256.45,3
280,281,544,14.7,1
281,282,544,53.88,1
282,283,544,37.71,1
283,284,544,20.0,1
284,285,544,25.99,1
285,286,533,87.27,2
286,287,544,13.97,1
287,288,424,28.93,2
288,289,507,20.54,2
289,290,544,49.98,1
290,291,544,199.15,1
291,292,174,65.88,4
292,293,102,173.78,2
293,294,221,27.36,2
294,295,95,386.58,4
295,296,544,25.53,1
296,297,544,14.96,1
297,298,544,68.04,1
298,299,236,22.759999999999998,2
299,300,4,538.4300000000001,21
300,301,231,173.38,4
301,302,544,27.13,1
302,303,544,10.77,1
303,304,399,113.34,5
304,305,237,152.26999999999998,2
305,306,544,30.99,1
306,307,488,28.45,1
307,308,544,12.77,1
308,309,471,52.5,1
309,310,539,39.32,1
310,311,544,69.25,1
311,312,191,102.72999999999999,2
312,313,37,2432.2899999999995,20
313,314,533,231.13,2
314,315,472,88.86,3
315,316,334,72.23,4
316,317,144,231.15,5
317,318,169,64.49,3
318,319,539,41.69,2
319,320,544,9.99,1
320,321,544,103.05,1
321,322,360,52.33,2
322,323,8,412.75,9
323,324,276,59.01,2
324,325,544,72.82,1
325,326,544,14.37,1
326,327,544,40.7,1
327,328,0,692.62,24
328,329,123,93.97,5
329,330,544,14.96,1
330,331,544,16.36,1
331,332,544,15.36,1
332,333,544,15.9,1
333,334,544,40.11,1
334,335,540,26.73,2
335,336,544,11.77,1
336,337,61,38.03,2
337,338,544,25.74,1
338,339,221,411.84,5
339,340,544,46.3,1
340,341,338,106.6,2
341,342,544,17.9,1
342,343,240,177.43,4
343,344,36,580.12,17
344,345,242,90.25,2
345,346,544,26.76,1
346,347,544,15.36,1
347,348,339,97.52,2
348,349,544,44.88,1
349,350,544,46.37,1
350,351,544,8.77,1
351,352,510,16.759999999999998,2
352,353,503,69.23,2
353,354,544,14.99,1
354,355,539,82.81,2
355,356,544,28.74,1
356,357,510,91.44999999999999,2
357,358,55,118.92,5
358,359,544,76.45,1
359,360,36,102.75,6
360,361,128,37.730000000000004,2
361,362,544,58.0,1
362,363,543,36.959999999999994,2
363,364,540,29.97,1
364,365,100,297.8,11
365,366,544,15.36,1
366,367,544,44.77,1
367,368,267,135.57999999999998,2
368,369,544,7.98,1
369,370,190,193.89,4
370,371,200,35.47,2
371,372,434,36.730000000000004,2
372,373,176,262.18,9
373,374,16,247.82,5
374,375,324,107.41,4
375,376,18,90.81,3
376,377,544,38.5,1
377,378,512,29.8,2
378,379,513,89.85,4
379,380,542,47.08,1
380,381,356,50.41,3
381,382,544,12.49,1
382,383,544,30.72,1
383,384,544,11.97,1
384,385,373,21.78,2
385,386,544,18.99,1
386,387,25,841.1299999999999,13
387,388,544,10.77,1
388,389,24,571.76,7
389,390,542,15.36,1
390,391,543,32.0,1
391,392,544,58.91,1
392,393,544,29.16,1
393,394,528,56.75,2
394,395,544,26.99,1
395,396,29,260.62,7
396,397,425,104.63,2
397,398,0,1556.3400000000001,43
398,399,510,62.32,2
399,400,107,151.76000000000002,8
400,401,544,41.74,1
401,402,542,24.740000000000002,2
402,403,544,11.77,1
403,404,71,139.17999999999998,7
404,405,544,14.99,1
405,406,55,219.21000000000004,5
406,407,540,21.74,1
407,408,544,25.99,1
408,409,544,14.37,1
409,410,225,42.97,2
410,411,179,1769.3000000000002,20
411,412,164,45.800000000000004,2
412,413,544,25.94,1
413,414,503,43.95,1
414,415,544,31.99,1
415,416,544,47.98,1
416,417,299,214.98,4
417,418,544,24.98,1
418,419,544,108.72,1
419,420,544,16.36,1
420,421,364,206.82999999999998,5
421,422,412,215.32,5
422,423,544,24.99,1
423,424,20,293.94,8
424,425,544,14.99,1
425,426,544,10.99,1
426,427,544,11.97,1
427,428,544,14.99,1
428,429,16,102.4,3
429,430,48,183.54999999999998,4
430,431,14,303.61,6
431,432,544,64.44,1
432,433,15,284.94,7
433,434,544,33.31,1
434,435,544,40.7,1
435,436,397,158.27,5
436,437,544,28.13,1
437,438,544,24.96,1
438,439,544,41.11,1
439,440,544,14.96,1
440,441,27,219.25,10
441,442,544,14.79,1
442,443,529,39.98,2
443,444,544,13.97,1
444,445,100,200.7,8
445,446,1,112.22999999999999,6
446,447,544,19.94,1
447,448,544,36.71,1
448,449,528,84.99000000000001,2
449,450,386,59.66,2
450,451,528,24.99,1
451,452,481,24.740000000000002,2
452,453,406,181.16,2
453,454,232,92.27999999999999,4
454,455,544,0.0,1
455,456,222,478.53000000000003,6
456,457,536,509.26,3
457,458,49,92.10000000000001,6
458,459,543,23.99,1
459,460,524,64.96,2
460,461,245,164.48,2
461,462,544,17.3,1
462,463,535,69.05,2
463,464,17,173.17,5
464,465,449,85.96,2
465,466,488,73.91,2
466,467,531,27.73,2
467,468,289,78.85000000000001,3
468,469,544,11.97,1
469,470,544,15.76,1
470,471,500,167.79000000000002,2
471,472,514,158.03,3
472,473,544,34.97,1
473,474,135,122.06,3
474,475,544,43.13,1
475,476,544,13.97,1
476,477,544,21.99,1
477,478,544,14.37,1
478,479,544,17.9,1
479,480,544,13.99,1
480,481,544,13.97,1
481,482,543,15.76,1
482,483,529,24.99,1
483,484,30,117.49,5
484,485,62,1154.7800000000002,15
485,486,544,20.0,1
486,487,543,11.77,1
487,488,160,32.79,2
488,489,529,60.97,2
489,490,231,27.759999999999998,2
490,491,544,15.76,1
491,492,22,203.36999999999998,10
492,493,544,28.34,1
493,494,544,13.77,1
494,495,541,72.07,2
495,496,251,39.12,2
496,497,544,11.77,1
497,498,521,120.13000000000001,2
498,499,9,4063.2999999999997,44
499,500,544,21.74,1
500,501,544,30.39,1
501,502,264,32.349999999999994,2
502,503,544,15.36,1
503,504,203,196.73,3
504,505,186,56.88,3
505,506,479,25.78,1
506,507,544,13.97,1
507,508,383,26.53,2
508,509,544,15.7,1
509,510,544,11.99,1
510,511,544,28.76,1
511,512,544,11.77,1
512,513,539,12.97,1
513,514,544,11.77,1
514,515,544,19.94,1
515,516,544,14.99,1
516,517,543,9.98,1
517,518,543,14.96,1
518,519,16,222.14,8
519,520,543,24.98,1
520,521,543,27.13,1
521,522,543,23.99,1
522,523,249,116.73,5
523,524,543,11.99,1
524,525,291,40.76,2
525,526,543,52.68,1
526,527,538,14.79,1
527,528,543,71.44,1
528,529,543,8.97,1
529,530,543,11.97,1
530,531,543,58.99,1
531,532,543,15.9,1
532,533,543,29.58,1
533,534,543,11.77,1
534,535,503,13.97,1
535,536,543,26.69,1
536,537,543,14.37,1
537,538,543,9.99,1
538,539,378,33.239999999999995,2
539,540,543,13.97,1
540,541,543,51.3,1
541,542,543,45.67,1
542,543,543,37.98,1
543,544,481,14.96,1
544,545,248,321.34000000000003,4
545,546,33,685.46,5
546,547,54,284.99,10
547,548,50,151.45999999999998,8
548,549,440,71.44,2
549,550,543,23.95,1
550,551,543,125.02,1
551,552,543,24.96,1
552,553,543,15.75,1
553,554,539,60.27,1
554,555,543,39.48,1
555,556,529,202.28000000000003,2
556,557,542,29.6,1
557,558,543,49.67,1
558,559,29,243.27,3
559,560,543,44.97,1
560,561,21,361.21000000000004,11
561,562,372,23.93,2
562,563,371,52.4,2
563,564,30,657.87,23
564,565,441,118.98,2
565,566,99,156.39,4
566,567,64,291.87,5
567,568,6,79.0,4
568,569,245,101.22999999999999,3
569,570,151,216.17000000000002,3
570,571,503,53.5,2
571,572,14,173.38,7
572,573,258,31.720000000000002,3
573,574,460,52.87,2
574,575,543,19.99,1
575,576,543,14.99,1
576,577,543,29.99,1
577,578,543,15.96,1
578,579,543,13.9,1
579,580,543,15.36,1
580,581,543,14.37,1
581,582,236,111.45,3
582,583,141,206.43,5
583,584,529,11.77,1
584,585,45,329.16,12
585,586,224,2849.6400000000003,33
586,587,291,220.46,6
587,588,543,40.3,1
588,589,193,85.16999999999999,3
589,590,175,42.32,2
590,591,42,41.34,3
591,592,428,121.24000000000001,3
592,593,23,203.86,8
593,594,529,31.32,1
594,595,191,90.14999999999999,3
595,596,283,91.32,3
596,597,375,39.71,3
597,598,233,81.1,3
598,599,303,40.11,2
599,600,543,15.36,1
600,601,509,19.54,2
601,602,333,374.6,3
602,603,543,24.13,1
603,604,543,68.97,1
604,605,543,53.68,1
605,606,96,39.98,2
606,607,543,81.96,1
607,608,25,214.60000000000002,4
608,609,204,488.33000000000004,8
609,610,40,123.66,4
610,611,265,25.759999999999998,2
611,612,543,12.49,1
612,613,379,49.97,3
613,614,88,52.59,4
614,615,519,78.91,2
615,616,26,48.14,3
616,617,543,29.92,1
617,618,375,76.21000000000001,2
618,619,42,1025.01,33
619,620,543,13.77,1
620,621,532,32.269999999999996,2
621,622,543,59.97,1
622,623,543,32.72,1
623,624,251,216.86999999999998,6
624,625,249,41.25,2
625,626,42,387.87,4
626,627,543,15.76,1
627,628,543,21.99,1
628,629,60,274.63,6
629,630,543,37.47,1
630,631,76,26.95,2
631,632,508,29.33,2
632,633,340,244.22999999999996,6
633,634,507,13.97,1
634,635,65,598.5699999999999,8
635,636,543,27.92,1
636,637,543,12.97,1
637,638,27,42.48,2
638,639,538,27.94,2
639,640,543,15.36,1
640,641,543,35.12,1
641,642,532,16.99,1
642,643,61,255.67,10
643,644,543,9.77,1
644,645,103,101.18,4
645,646,140,40.72,3
646,647,365,71.97,2
647,648,536,124.94,2
648,649,204,48.94,2
649,650,543,15.36,1
650,651,543,24.99,1
651,652,543,11.77,1
652,653,68,122.64999999999999,4
653,654,428,75.22,2
654,655,395,63.910000000000004,2
655,656,80,169.89,2
656,657,543,71.49,1
657,658,543,14.96,1
658,659,27,670.0,17
659,660,543,9.97,1
660,661,543,12.77,1
661,662,110,153.71000000000004,5
662,663,8,242.07999999999998,11
663,664,543,23.54,1
664,665,543,11.97,1
665,666,374,44.28,2
666,667,335,220.64,4
667,668,461,119.03,2
668,669,543,26.14,1
669,670,21,103.53,4
670,671,193,25.759999999999998,2
671,672,367,37.3,2
672,673,543,14.77,1
673,674,331,155.31,7
674,675,543,24.99,1
675,676,543,22.54,1
676,677,543,58.98,1
677,678,543,15.36,1
678,679,543,46.69,1
679,680,543,15.96,1
680,681,543,29.98,1
681,682,513,84.58,2
682,683,431,187.88,3
683,684,543,13.97,1
684,685,543,8.77,1
685,686,543,32.37,1
686,687,81,47.379999999999995,2
687,688,543,14.37,1
688,689,372,61.25,4
689,690,543,21.75,1
690,691,2,411.62,12
691,692,543,12.49,1
692,693,391,31.32,2
693,694,543,15.99,1
694,695,524,51.93,2
695,696,543,37.11,1
696,697,543,13.97,1
697,698,60,148.41,7
698,699,197,21.47,2
699,700,542,89.54,1
700,701,543,16.7,1
701,702,147,134.19,7
702,703,542,121.34,1
703,704,161,85.35000000000001,4
704,705,161,36.42,2
705,706,543,17.36,1
706,707,543,12.49,1
707,708,543,24.98,1
708,709,543,14.9,1
709,710,5,2502.2999999999997,57
710,711,15,465.1,16
711,712,124,58.6,2
712,713,543,0.0,1
713,714,543,21.37,1
714,715,507,42.92,2
715,716,543,6.79,1
716,717,207,48.66,3
717,718,9,63.71000000000001,5
718,719,539,34.98,1
719,720,543,26.98,1
720,721,543,31.13,1
721,722,60,198.79000000000002,4
722,723,543,14.79,1
723,724,543,67.75,1
724,725,543,13.97,1
725,726,529,88.25999999999999,3
726,727,543,9.77,1
727,728,543,21.7,1
728,729,12,651.14,21
729,730,127,855.38,17
730,731,229,71.94,2
731,732,232,115.19,3
732,733,543,125.6,1
733,734,336,36.910000000000004,2
734,735,15,49.95,3
735,736,543,28.74,1
736,737,38,200.32,6
737,738,512,19.96,2
738,739,479,69.84,2
739,740,543,15.36,1
740,741,542,43.13,1
741,742,519,129.15,2
742,743,534,15.7,1
743,744,210,271.20000000000005,3
744,745,543,12.49,1
745,746,346,344.0,4
746,747,525,77.22,2
747,748,543,49.97,1
748,749,543,36.74,1
749,750,543,63.62,1
750,751,543,29.37,1
751,752,543,57.98,1
752,753,219,72.37,3
753,754,493,46.08,2
754,755,543,52.99,1
755,756,311,70.42,3
756,757,543,9.77,1
757,758,30,890.57,28
758,759,201,30.36,2
759,760,71,53.43,3
760,761,543,9.97,1
761,762,543,23.54,1
762,763,523,87.59,2
763,764,67,86.33,4
764,765,179,349.43,3
765,766,358,219.83,8
766,767,212,292.82000000000005,9
767,768,543,43.49,1
768,769,543,55.53,1
769,770,543,12.77,1
770,771,543,34.72,1
771,772,59,208.72,10
772,773,190,394.80000000000007,8
773,774,543,12.49,1
774,775,542,186.67,1
775,776,36,213.45000000000005,10
776,777,542,9.97,1
777,778,303,149.51999999999998,5
778,779,542,15.9,1
779,780,171,142.18,4
780,781,394,58.32,3
781,782,542,10.77,1
782,783,12,598.65,10
783,784,230,267.88,4
784,785,542,11.97,1
785,786,542,60.33,1
786,787,542,179.01,1
787,788,542,14.96,1
788,789,92,99.44,3
789,790,2,270.36999999999995,15
790,791,542,28.77,1
791,792,537,50.6,1
792,793,542,33.51,1
793,794,485,30.32,2
794,795,542,13.97,1
795,796,542,12.49,1
796,797,3,775.93,16
797,798,534,23.54,1
798,799,154,213.73,4
799,800,128,258.96,4
800,801,511,9.77,1
801,802,542,44.14,1
802,803,542,11.77,1
803,804,103,83.78,3
804,805,3,101.52,4
805,806,107,249.64,5
806,807,542,25.14,1
807,808,21,458.13,6
808,809,521,27.74,1
809,810,542,18.36,1
810,811,223,254.85999999999999,3
811,812,542,33.52,1
812,813,490,128.07999999999998,2
813,814,509,121.25,2
814,815,527,9.77,1
815,816,542,35.31,1
816,817,542,99.8,1
817,818,520,28.14,2
818,819,517,279.67,6
819,820,135,37.19,2
820,821,256,93.34,5
821,822,394,123.5,5
822,823,542,11.97,1
823,824,18,600.37,11
824,825,162,876.69,4
825,826,542,34.94,1
826,827,186,269.42,7
827,828,462,66.75,2
828,829,542,11.75,1
829,830,158,71.04,5
830,831,542,53.98,1
831,832,542,13.77,1
832,833,542,21.37,1
833,834,542,21.98,1
834,835,542,16.56,1
835,836,230,466.46000000000004,4
836,837,270,92.86000000000001,4
837,838,542,14.99,1
838,839,542,14.99,1
839,840,200,79.21,3
840,841,533,29.950000000000003,2
841,842,527,60.959999999999994,2
842,843,316,145.76000000000002,5
843,844,542,11.77,1
844,845,55,298.05,13
845,846,88,452.28,7
846,847,542,37.51,1
847,848,42,134.39,4
848,849,58,143.94000000000003,10
849,850,237,553.71,6
850,851,532,44.38,2
851,852,542,12.49,1
852,853,542,42.7,1
853,854,524,44.51,1
854,855,370,112.17,2
855,856,195,212.23,4
856,857,542,24.94,1
857,858,533,26.73,1
858,859,285,92.42,3
859,860,43,158.93,7
860,861,132,81.93999999999998,3
861,862,542,49.99,1
862,863,542,43.7,1
863,864,542,11.77,1
864,865,519,107.31,2
865,866,542,34.34,1
866,867,542,53.47,1
867,868,542,44.88,1
868,869,542,49.98,1
869,870,113,325.46000000000004,11
870,871,20,24.259999999999998,2
871,872,542,11.77,1
872,873,199,180.94,6
873,874,58,177.78,6
874,875,542,16.99,1
875,876,449,99.36,4
876,877,542,14.99,1
877,878,542,14.3,1
878,879,542,14.37,1
879,880,537,49.95,2
880,881,73,270.85,5
881,882,350,54.64,3
882,883,535,36.99,1
883,884,542,82.89,1
884,885,542,11.77,1
885,886,542,16.7,1
886,887,115,1024.8400000000001,12
887,888,537,9.98,1
888,889,521,33.349999999999994,2
889,890,500,47.08,2
890,891,17,156.27,5
891,892,0,153.05,5
892,893,542,109.28,1
893,894,153,116.43999999999998,6
894,895,423,37.71,2
895,896,56,180.31,9
896,897,542,36.35,1
897,898,542,14.99,1
898,899,542,145.47,1
899,900,542,28.33,1
900,901,235,41.92,2
901,902,542,20.54,1
902,903,542,22.77,1
903,904,514,45.28,3
904,905,317,64.64,5
905,906,542,38.76,1
906,907,542,15.36,1
907,908,542,0.0,1
908,909,542,27.13,1
909,910,39,283.40999999999997,14
910,911,542,42.67,1
911,912,475,73.06,4
912,913,542,12.77,1
913,914,542,27.94,1
914,915,189,82.17999999999999,4
915,916,542,89.24,1
916,917,542,8.97,1
917,918,205,136.59,3
918,919,475,68.29,1
919,920,40,250.26000000000002,9
920,921,540,24.98,1
921,922,539,47.48,1
922,923,110,249.23999999999995,6
923,924,282,84.94,2
924,925,542,0.0,1
925,926,183,134.94,3
926,927,178,327.36,3
927,928,429,103.36,3
928,929,455,175.64000000000001,3
929,930,511,74.02,3
930,931,26,91.33,6
931,932,109,25.44,2
932,933,449,392.04,7
933,934,380,51.02,2
934,935,542,24.98,1
935,936,542,14.99,1
936,937,536,16.36,1
937,938,108,441.01000000000005,4
938,939,542,14.9,1
939,940,542,25.13,1
940,941,120,119.50999999999999,6
941,942,147,52.300000000000004,3
942,943,478,34.98,2
943,944,542,35.99,1
944,945,214,93.63,5
945,946,152,214.99,8
946,947,506,74.23,2
947,948,341,75.72,2
948,949,542,45.69,1
949,950,535,68.47,1
950,951,101,157.56,4
951,952,542,31.98,1
952,953,542,15.36,1
953,954,542,58.66,1
954,955,468,97.62,2
955,956,542,34.69,1
956,957,542,68.65,1
957,958,542,117.1,1
958,959,540,17.9,1
959,960,542,27.77,1
960,961,541,98.38,1
961,962,26,213.93,9
962,963,542,75.81,1
963,964,542,14.37,1
964,965,39,106.5,8
965,966,542,21.75,1
966,967,498,33.35,1
967,968,134,67.14999999999999,6
968,969,542,14.96,1
969,970,528,32.98,2
970,971,339,26.740000000000002,2
971,972,542,29.33,1
972,973,542,46.99,1
973,974,542,18.36,1
974,975,541,95.73,1
975,976,542,13.97,1
976,977,542,28.99,1
977,978,437,25.39,2
978,979,96,399.59,6
979,980,19,493.22999999999996,8
980,981,101,308.38,2
981,982,541,48.5,1
982,983,541,137.11,1
983,984,541,44.69,1
984,985,199,176.18,3
985,986,541,77.25,1
986,987,491,41.9,2
987,988,292,246.7,5
988,989,541,14.96,1
989,990,538,51.309999999999995,2
990,991,33,121.82000000000001,3
991,992,196,284.89,6
992,993,204,54.239999999999995,3
993,994,211,42.43,2
994,995,472,35.31,2
995,996,541,79.55,1
996,997,262,256.25,8
997,998,74,279.87,5
998,999,61,102.14999999999999,4
999,1000,526,8.99,1
1000,1001,408,73.03,3
1001,1002,54,44.22,3
1002,1003,541,44.75,1
1003,1004,149,257.88,3
1004,1005,541,31.32,1
1005,1006,541,14.37,1
1006,1007,517,46.95,2
1007,1008,409,86.38,3
1008,1009,496,40.6,2
1009,1010,541,21.74,1
1010,1011,540,54.67,1
1011,1012,423,74.62,4
1012,1013,541,38.99,1
1013,1014,541,96.36,1
1014,1015,541,19.7,1
1015,1016,263,24.759999999999998,2
1016,1017,541,9.97,1
1017,1018,53,224.9,8
1018,1019,531,51.75,2
1019,1020,541,29.73,1
1020,1021,345,73.44,2
1021,1022,541,14.7,1
1022,1023,541,24.98,1
1023,1024,541,62.25,1
1024,1025,14,113.31999999999998,5
1025,1026,374,154.17999999999998,3
1026,1027,371,28.14,2
1027,1028,541,14.48,1
1028,1029,450,243.60999999999999,3
1029,1030,415,204.93,5
1030,1031,541,31.32,1
1031,1032,60,357.96000000000004,9
1032,1033,541,55.88,1
1033,1034,541,33.96,1
1034,1035,489,108.93,2
1035,1036,541,12.77,1
1036,1037,28,215.17,3
1037,1038,541,283.97,1
1038,1039,263,74.34,4
1039,1040,541,15.99,1
1040,1041,136,93.91000000000001,2
1041,1042,497,42.7,1
1042,1043,541,75.82,1
1043,1044,541,11.77,1
1044,1045,30,149.13,5
1045,1046,434,178.26999999999998,3
1046,1047,539,32.31,1
1047,1048,489,71.62,2
1048,1049,541,14.37,1
1049,1050,541,21.76,1
1050,1051,541,13.97,1
1051,1052,541,11.77,1
1052,1053,121,108.0,3
1053,1054,541,25.74,1
1054,1055,541,33.4,1
1055,1056,447,108.14,3
1056,1057,496,93.17999999999999,3
1057,1058,541,31.52,1
1058,1059,541,155.37,1
1059,1060,541,29.92,1
1060,1061,541,11.77,1
1061,1062,541,14.96,1
1062,1063,397,52.48,2
1063,1064,541,45.31,1
1064,1065,479,63.540000000000006,2
1065,1066,198,132.03,3
1066,1067,541,71.45,1
1067,1068,83,151.9,7
1068,1069,420,65.06,3
1069,1070,541,14.37,1
1070,1071,19,226.70999999999998,4
1071,1072,541,14.37,1
1072,1073,541,26.99,1
1073,1074,541,68.84,1
1074,1075,7,63.830000000000005,4
1075,1076,317,176.4,3
1076,1077,9,3324.4900000000002,48
1077,1078,34,45.84,3
1078,1079,541,66.0,1
1079,1080,541,14.99,1
1080,1081,541,29.98,1
1081,1082,89,79.73,2
1082,1083,3,322.23,11
1083,1084,36,185.10000000000002,4
1084,1085,65,295.03000000000003,13
1085,1086,205,83.29,4
1086,1087,40,183.82,6
1087,1088,541,47.07,1
1088,1089,279,110.46999999999998,4
1089,1090,541,17.56,1
1090,1091,461,103.61,2
